id,source_message_id,source,text
1604,1267116842-164,telegram,всем привет сегодня в наш cpo данила корнев выступит на конференции nvidia gtc и расскажет о том как использовать технологии разговорного ии от deeppavlov для того чтобы сделать обработку исключений более гибкой и естественной в сценарных диалоговых навыках с помощью нового инструмента df designer и новых моделей речевых функций и диалоговых актов создание мультинавыковых ии ассистентов способных решать как конечные задачи типа заказа пиццы и бронирования отеля так и поддерживать разговор с пользователем это одна из сложнейших проблем в разговорном ии хотя существующие индустриальные решения такие как алиса от яндекса и alexa от amazon построены по схожим принципам разработка индивидуальных навыков является длительным итеративным процессом использование генеративных моделей таких как gpt может быть нерелевантным поскольку они не всегда могут избегать противоречий и логических ошибок поэтому команда deeppavlov занимается разработкой подхода который основывается на созданных вручную сценариях и генерации текста проектирование таких навыков предполагает наличие некоторого предсказуемого счастливого пути пользователя в диалоге но при этом во время эксплуатации ии ассистента пользователи редко идут по этому счастливому пути основная сложность подобных навыков в ии ассистентах состоит в невозможности предугадать следующий ответ пользователя поэтому становится необходимым обработка исключений ответов не попавших в счастливый путь в существующих решениях обработка исключений в подавляющем большинстве случае сводится к ответам вида я не могу ответить с последующей сменой темы добавляйте напоминание в календарь и ждем ваших вопросов lecture events
3420,1154371210-35981,telegram,у меня версия firefox
199,1659091512.598599,slack,олег из новостей события уже довольно хорошо выделяются из сообщений выделение задач и событий вроде стало немного лучше на глаз к понедельнику проверит и скинет текущие результаты на оценку есть риск что если этот вариант покажет слабые результаты нужно будет применить ml подход а не на правилах и потратить время на разметку таким образом срок выполнения задачи увеличится на недели и в помощь к олегу добавим человека дима приоритет готово общее для всех пользователей решение в теории возможно расширить его до персонализированного в будущем как минимум после готовности календаря со стороны бэка добавил функции для переноса событий которые накладываются друг на друга далее занимается методом расчета времени между локациями событий для более правильного выбора времени переноса так как информации о том как пользователь будет добираться пешком или на транспорте у нас быть не может ввели простые правила что меньше км считаем что пользователь ид т пешком больше значит едет арт м приступил к созданию поиска людей в аватаре в самой задаче разобрался пока все понятно тестирует разные методы подбирает модели для исправления ошибок тимур я сегодня заканчиваю телеграмм бота для сбора диалогов для передачи ольге олеговне изменил модель для определения токсичности повысив точность до на тестах после тг бота займусь дописыванием логики модуля определения пэс чтобы после получения результатов ольги олеговны быстро внедрить правила
5856,730317973-38489,telegram,если пользователь будет с нами делиться геопозицией постоянно а не только когда использует приложение если вообще будет 
1264,724974717-40787,telegram,нет
2640,1154371210-31963,telegram,и по срокам примерно сориентировались
5659,1522012683-17,telegram,уважаемые студенты компания диасофт российский вендор банковского по отправила нам вакансию на должность java разработчик и аналитик приглашаются студенты старших курсов требования к кандидатам курс и старше опыт программирования на любом языке что мы предлагаем вы будете работать в надежной компании которая сотрудничает практически со всеми российскими банками это уникальный профессиональный опыт мы обеспечиваем вас поддержкой проводим через необходимые учебные программы предоставляем ресурсы для развития и получения компетенций в своей области команда частью которой вы станете использует передовые технологии платформы и подходы работает по scrum на современном стеке с применением spring kafka kubernetes и других актуальных инструментов в диасофт вы достаточно быстро станете квалифицированным разработчиком дополнительные плюсы возможность совмещения работы и учебы неполная занятость гибкий график опытный наставник готовый помочь в решении рабочих вопросов возможность дистанционной работы взаимодействие с наставником через zoom и другие средства связи условия входное интервью и тестовое задание заработная плата рублей в месяц при трехдневной рабочей неделе уже на испытательном сроке пропорционально больший доход если вы готовы работать дней в неделю после успешного прохождения месячного испытательного срока рост дохода до рублей в месяц контакты гайнутдинова диляра рекрутер компании диасофт vk https vk com dlr dilyara tg recruter di
5894,730317973-38561,telegram,ссылка скинешь 
6995,1415797768-468,telegram,прощаемся с михаилом 
1394,524297175-37834,telegram,звучит как хороший вариант сейчас поищу про него
7816,794092323-39201,telegram,так и думали сделать по поводу пользовательской настройки советов 
854,533,other,приглашаем вас принять участие в отборочном туре региональной студенческой предметной олимпиады санкт петербурга по физике победители смогут войти в олимпиадную команду университета итмо по физике а также получить сертификаты победителей отбор пройдет октября в в ауд на ломоносова на выполнение всех заданий отведено часа просим всех желающих предварительно зарегистрироваться по ссылке 
5700,1522012683-65,telegram,уважаемые студенты небольшое изменение встреча по вопросам практики состоится завтра в ссылка на zoom та же 
6108,730317973-39952,telegram,https chrome google com webstore detail free vpn for chrome vpn p majdfhpaihoncoakbjgbdhglocklcgno hl ru
3887,1154371210-37287,telegram,думаю такой вариант должен подойти
5061,400479101-30947,telegram,да только я сейчас в москве
2425,1374470453-307,telegram,узнаете место надеемся что да ведь нашей новой библиотеке уже почти полгода и чтобы расти дальше ей нужны ваши отзывы проверяйте почту и ищите письмо с заголовком itmo library feedback с учетом ваших пожеланий библиотека обновит свой ассортимент если письма нет даже в папке спам обратитесь по адресу avidyaeva itmo ru 
5456,747877690-34742,telegram,занятия по расписанию таким образом распределены по времени на текущую неделю
6247,1789531246-101,telegram,оу
3872,1154371210-37272,telegram,поэтому надо как то встроить архитектуру для бота будет
4680,780658709-36716,telegram,можно
1918,636348152-36189,telegram,хотел сейчас чего нибудь нагенерировать но он видимо на старые сообщения когда я просто тестил сильно ориентируется сейчас
740,419,other,извучить вакансии чтобы найти работу своей мечты работая в saas компании такой как shopify или oberlo и буду долго путешествовать в качестве цифрового кочевника 
5892,730317973-38559,telegram,а зачем их 
7341,1415797768-987,telegram,коллеги добрый день прошу пройти опрос
6080,730317973-39825,telegram,в пойд т 
1198,724974717-40712,telegram,по второму хз тоже не работал сегодня в планах посмотреть как это можно сделать
4877,932376745-30844,telegram,о будет интересно ещ и его услышать мнение финальную версию я бы ему отправил
478,157,other,приглашаем студентов июля в по мск на открытое онлайн мероприятие как заинтересовать работодателя если нет опыта секреты резюме 
2460,1374470453-342,telegram, update сегодня занятия неч тной недели наконец то уже сегодня начинаются занятия для всех кроме первокурсников мы надеемся что вы продуктивно провели это лето и готовы к новым вызовам свое расписание на новый учебный год вы можете найти на my itmo ru чтобы найти нужную информацию чекайте itmo students itmolnia и ису напоминаем что необходимо вносить изменения в анкету о перенесенном covid или вакцинации в ису ису личный кабинет административные сервисы электронные заявки другое в зависимости от меняющихся данных заявку можно заполнить повторно неограниченное количество раз 
5443,747877690-34726,telegram, 
8358,587,other,вам на эту пару надо выполнить следующее скинуть мне в лс для проверки выполненные задания стр домашнее задание зайти в мудл найти задание см скрин и выполнять его в течение пары и загрузить в мудле для проверки 
3143,1154371210-35274,telegram,ага можно два файла
4487,780658709-31358,telegram,что насчет шаблона отзыва aalausch
5332,400479101-38583,telegram,думаю смогу к которому часу мне приехать или ещ пока не известно 
5322,400479101-38510,telegram,ааа поняла а ты же не отчисляешься 
2582,1154371210-31607,telegram,хахаххаа забавно 
4664,780658709-33068,telegram,во сколько 
3441,1154371210-36003,telegram,а у тебя нет винды 
5758,1522012683-127,telegram,уважаемые студенты мы планируем провести защиту вашей научно исследовательской работы июня пожалуйста заполните предложенную таблицу выберите дату и время удобные для вас и вашего начного руководителя консультанта в таблице https docs google com spreadsheets d mx zpgaere hzfgu pn mfjni h s der urhtcg edit usp sharing желательно чтобы ваш научный руководитель консультант присутствовал во время вашей презентации поэтому прошу вас пригласить его е на вашу защиту обратите внимание что июня и первая половина дня июня специально выделены для студентов gamedev защита традиционно пройдет в онлайн формате через zoom 
7476,1415797768-1152,telegram,да я думал об этом просто это сложнее и логику бота тяжело продумать для разных вариантов а хотел первую версию уже скинуть но я попробую добавить что то похожее сегодня завтра отдельная статистика по каждому сообщению и так собирается я ее вам потом предоставлю в том варианте что скидывал вам а насколько нужно пользователю давать эту информацию пока не знаю
547,226,other,приглашаем овощеводов гродненщины посоревноваться в конкурсе на самый тяжеловесный томат уже в эту пятницу в севастополе
6904,1415797768-353,telegram,согласовал
5641,747877690-37241,telegram,добрый день а можно узнать когда проставят отметки в электронную зач тку вроде сегодня как последний день когда это можно сделать
4571,780658709-31560,telegram,кандидат тоже вроде
7551,1415797768-1233,telegram,в отсутствии морально этического кодекса у ии это вмешательство в личную переписку в отношения между людьми может и скорее всего приведет к негативным последствиям а по воздействию цветовой гаммы на настроение человека светлана нас лучше просветит 
7654,1415797768-1342,telegram,как то так используя цветовую дифференциацию например при нейтральном сообщении желтым и пульсирующее красное при негативных эмоциях как предлагалось ранее 
5920,730317973-38646,telegram,эта группа не пропадает та нужна именно для контакта с психологами
1317,724974717-40856,telegram,в avatar заходишь и там вся структура будет
5677,1522012683-40,telegram,доброе утро коллеги сообщили что починили сервис проверяйте 
3583,1154371210-36282,telegram,то есть пятница и понедельник
2272,1374470453-100,telegram,иностранные студенты по желанию могут уехать домой после выезда за пределы российской федерации обратный въезд до стабилизации эпидемиологической обстановки может быть затруднен но это не вызовет сложностей в обучении и прохождении промежуточной аттестации в случае если у студента имеются академические задолженности перед отъездом просьба связаться со студенческим офисом по электронной почте so itmo ru чтобы согласовать график их ликвидации также обязательно необходимо уведомить о своем отъезде центр обучения иностранных студентов по электронной почте или телефону int students itmo ru 
455,134,other,конкурс для самых маленьких дата проведения с июля по августа года работы принимаются онлайн 
1127,724974717-40571,telegram,ну я пока въезжаю в наш стек только рэббит постгрис и фастапи по нормальному до конца недели выходные доделаю
5754,1522012683-122,telegram,в файле официальные правила конкурса
3411,1154371210-35972,telegram,может реально с версиями проблема
6978,1415797768-448,telegram,а почему этот комментарий нам интересен 
7479,1415797768-1155,telegram, mozgish svmigulin c hot i llseeyouonthedarksideofthemoon kirpad vgtycfrubhasfvjkrdjihfyjfweiolm aerokobra anmedvedev скиньте свои аккаунты gitlab а внутреннего которые регистрировали тут gitlab actcognitive org
6789,1415797768-230,telegram, samigulin strategka привет мы готовы сегодня что нить гпн показать 
5249,400479101-37401,telegram,вижу отлично 
2775,1154371210-32662,telegram,пока не буду выключать пусть ещ поработает
2809,1154371210-32704,telegram,принято 
5864,730317973-38527,telegram,это не мы делали
8401,630,other,сдать на права
5875,730317973-38541,telegram,конечно мы можем собирать количество смайликов и тд но все что они описывают это упор на личность человека а не на содержание текста
8428,634,other,надо уже сходить на это мероприятие
6320,1789531246-179,telegram,upd точно после 
6311,1789531246-170,telegram,только сейчас прочитал снова порвали запад 
4731,780658709-38506,telegram,вы эти этапы оформляете без гостов и прочего но итоговый формат как документ отчета го семестра
1532,1267116842-89,telegram,всем привет по нашей уже сложившейся традиции на этой неделе июня в пройдет очередной deeppavlov communitycall на community callе давид дале расскажет про дистиллированный русский bert а затем наш cpo данила корнев начн т первую часть рассказа о продуктовом опыте и наблюдениях о том как стоит строить open domain dialog systems добавляйте расписание с сcылкой на zoom в свой календарь http bit ly monthlydpcommunitycall re а подробнее о мероприятии читайте в нашем блоге https deeppavlov ai blog tpost ngofas fd anons deeppavlov community call 
378,57,other,аня я приглашаю тебя на мой день рождения а маза парк в воскресенье сентября в 
670,349,other,в городском округе пройд т всероссийская акция вода россии с до часов истринское водохранилище деревня ал хново координаты места проведения акции с до 
967,724974717-40222,telegram,тогда и никиту с денисом на неделю отправь в отпуск
2996,1154371210-34474,telegram,и не будет обрывов слов
555,234,other, июля в нашем городе и ещ регионах пройд т первый всероссийский день чтения вслух в в городском парке культуры и отдыха затем в гость провед т встречу в центральной детской библиотеке приглашаем присоединиться любителей режисс рских работ приглаш нной знаменитости 
6269,1789531246-128,telegram,да погодите
2234,1374470453-62,telegram,внимание по техническим причинам сегодня студофис работает до с понедельника студофис снова работает в привычном режиме с до itmolnia base
3291,1154371210-35708,telegram,в той таблице последней сможешь добавить новую колонку c value и посчитать ее по формуле log a b
8309,1728550269-442,telegram,шаблон презы нцкр
6829,1415797768-272,telegram,я у лифта
8345,574,other,перезаключить договор с общагой
4978,932376745-34049,telegram,спасибо 
5145,400479101-33671,telegram,да надо бы презентацию начать делать 
5508,747877690-35747,telegram,меня устраивает
7090,1415797768-572,telegram,танцы будут 
6745,1415797768-182,telegram, zer deck amlnkv отключайтесь
6633,1789531246-523,telegram,а что это и зачем 
6921,1415797768-375,telegram,значит не аналитическая группа
4695,780658709-37161,telegram,поэтому в темпе вальса готовим текст согласно плану и презентации к защите
3309,1154371210-35726,telegram,хотя могу и excel
1378,524297175-37814,telegram,к сожалению не смогу я в москве пока что работаю дистанционно я могу купить билеты и приехать на следующей неделе чтобы подписать и ещ такой вопрос я же подписывал трудовой договор мне нужно переподписать 
3435,1154371210-35997,telegram,до откатился
6782,1415797768-223,telegram,вау спасибо большое 
3762,1154371210-36937,telegram,да сейчас
3896,1154371210-37296,telegram,да
6389,1789531246-255,telegram,кто ид т на обед
3512,1154371210-36075,telegram,хорошо 
5501,747877690-35505,telegram,вам к alexey ryakhovskiy
2344,1374470453-207,telegram,заканчивается срок использования банковской карты подай заявку и забери новую в студенческом офисе подробности и список необходимых документов ищи в ису если у тебя не открывается ссылка указанная в ису значит карту менять ещ рано 
3911,1154371210-37311,telegram,принято посмотрю
3843,1154371210-37194,telegram,продублируй почту для гита плз
6674,1789531246-589,telegram,просто он без ноута прид т сегодня по этой причине сможете пожалуйста помочь кто в офисе и шарит в этом 
3053,1154371210-34886,telegram,хорошо 
6550,1789531246-426,telegram,у вас отзыв научника зачитывается 
6670,1789531246-585,telegram,привет а почему у рогозина нельзя попросить новый комп просто системник тимура насколько я помню очень очень тупит
6575,1789531246-454,telegram,просто поменяйте dns адрес свой на или но второй вариант хз будет ли работать т к не чекал 
3387,1154371210-35931,telegram,я подготовил ноутбук сам он будет лежать по корню репозитория gazprom запускать его также по корню а то пути могут съехать взял мтр которые лучше всего выглядят по результатам для демонстрации парсинг займет примерно минут может чуть больше я добавил аргумент контролирующий время ожидания загрузки страницы в selenium и поставил пока секунд если что ещ нужно будет добавить то пиши я добавлю
7796,794092323-39019,telegram,ольга олеговна добрый день а мы сможем рекомендации по переговорам добавить в т ч и к короткому сценарию т е к существующему у тимура пулу эмоций по экману чтобы к середине концу августа мы имели эти рекомендации хотя бы в базовом виде
4740,780658709-38572,telegram,dear students we are planning to hold your scientific research presentations aka defense june please fill in the proposed table choose the date time convenient for you and your supervisor consultant in the table https docs google com spreadsheets d mx zpgaere hzfgu pn mfjni h s der urhtcg edit usp sharing it is very desirable that your supervisor consultant is present during your presentation so please invite him her to your defense please mind that june first half of june is for gamedev students only the defense will traditionally be held in an online format via zoom 
1298,724974717-40824,telegram,данные миграциями внесли
3281,1154371210-35697,telegram,или какой то разброс
2745,1154371210-32279,telegram,я тоже
3488,1154371210-36051,telegram,так что возможно наверное еще улучшить
1401,524297175-37863,telegram,привет
770,449,other, мая состоится олимпиада по безопасности жизнедеятельности тур за участие в олимпиаде я добавлю максимум баллов к баллам по текущему контролю или баллам по кт 
5520,747877690-35818,telegram,сверху ничем не ограничено 
7781,794092323-38900,telegram,коллеги поправляйте пожалуйста чтобы в итоге нам прийти к нужному
2801,1154371210-32695,telegram,понятно как раз хотел рекомендовать оценить время блока на сколько происходит
6785,1415797768-226,telegram, спасибо 
343,22,other,ждем вас и июля в часов на артиллерийское шоу и в течение всего дня для выстрела 
4182,1154371210-39787,telegram,хорошо я просто буду делать сейчас определение псих состояния и мне там тоже нужно получать раз в день инфу о пользователе его сообщения и сдать в аватар какую то рекомендацию
6775,1415797768-214,telegram,все теперь не отмажетесь задокументировано 
7303,1415797768-941,telegram,но надо благодарить анастасию нашла место выбрала конкурс нашла автобус купила продукты огромное спасибо 
5588,747877690-37071,telegram, quantmm мы подошли ко входу
3589,1154371210-36332,telegram,преза тезисы и доклад если писал его 
4862,932376745-30743,telegram,хорошо 
8001,1728550269-112,telegram,структура рабочей силы в возрасте лет и старше по возрастным группам по регионам
5611,747877690-37101,telegram,отлично
6720,1415797768-156,telegram,всем добрый день рада сообщить что у нас поменялась структура в notion теперь документация хранится по отделам head концепция команда релизы аналитика qa процессы маркетинг бизнес процессы итоги встреч если будет нужна помощь со структуризацией документов страниц в notion можете обращаться ко мне anastaaa или к андрею amlnkv https www notion so avatar platform head d aa abacd fd a f 
1955,636348152-36313,telegram,тоже самое по частоте слов в в названии и ключевых словах если получится неплохо то попробую ещ и на других колонках
136,1659713395.437509,slack,что под подходящими ты понимаешь нам же нужны совершенно любые сообщения можно выкачать наш же слак как минимум затем наши групповые чаты в телеге это уже будет за тысячу сообщений
5328,400479101-38516,telegram,не за что надеюсь все ок доставит 
1690,636348152-33295,telegram,а не общения
3362,1154371210-35862,telegram,это deprecated я старался на него не ориентироваться
1262,724974717-40785,telegram,может создается два чата для двух пользователей общающихся между собой 
344,23,other,не хотели бы вы пойти в мариинку на ромео и джульетта к билет будет
6892,1415797768-340,telegram,согласовала
4171,1154371210-39428,telegram,привет хорошо 
7388,1415797768-1044,telegram,хотя стоп
3616,1154371210-36388,telegram,можешь на фоне подумать как можно speech to text задачу решить а то я завтра обещал помочь другой команде которая звуком занимается помочь им
7862,794092323-39809,telegram,ну и пока у нас в планах в ближайшей версии реализовать только п функционально поэтому на проработку п времени больше примерно до середины октября а по п вы пока делаете же по эмоциям из существующего у нас списка по экману верно думаю лучше первостепенно заняться дифференцированием эмоций чтобы получить рекомендации по расширенному списку эмоций задача по п а после этого доработать задачу по п согласно тому же расширенному списку
5339,400479101-38613,telegram,привет доделал почти погоду правда в базовом виде ещ делаю новые изменения в архитектуре чтобы чат бот мог писать пользователю о изменении погоды или пока лучше оставить в базовом чтобы пользователь хотя бы мог спросить погоду и перейти к событиям 
1039,724974717-40296,telegram,также компилируется в нативный swift для ios и kotlin для android
3913,1154371210-37318,telegram,привет 
4424,780658709-30822,telegram,главное не в параллельный в то же время 
8349,578,other,сходи завтра забрать договор
3866,1154371210-37266,telegram,да вс есть сейчас попробую
7672,1415797768-1372,telegram,зависит от пожелания целей участников диалога
2821,1154371210-32852,telegram,по rudialogpt можно повременить ещ неделю там у нас до мая срок
471,150,other,привет надеюсь что ты помнишь о том что завтра сентября годовщина наших отношений приглашаю тебя отпраздновать эту дату вместе в ресторане травушка по адресу владимирский проспект д в жду тебя 
686,365,other, июля четверг м белорусская | ул грузинский вал с сбор гостей начало вход бесплатно 
2221,1374470453-44,telegram,студенты бакалавриата курса креативные технологии эта новость для вас модульный курс завершился и настало время подвести итоги студенты набравшие по каждому виду заданий проходные баллы получают зачет те кто не набрали проходные баллы или не выполнили задания ещ могут поработать над ними с по декабря года у вас есть целая неделя чтобы выполнить тесты практические задания и отправить презентацию на проверку с по декабря преподаватели проверят работы и выставят итоговые баллы контакты createch cde ifmo ru
3259,1154371210-35673,telegram,да думаю успею начинаю делать
479,158,other,приглашаю на занятия маминой беседки каждый вторник в по мск онлайн на площадке zoom
1947,636348152-36226,telegram, я за сегодня ещ один метод доделаю
2780,1154371210-32673,telegram,кратко своими словами просто я для себя пока что чтобы ответить на вопросы если будут
